Unid. 1,Unid. 2,Unid. 3,Resultado,Sit.,op_aritmetico,if,op_logico,while,vetor,dev_jogos,html,css,p5js,cpp,java,javascript,python,Você tem acesso regular a um ambiente computacional no qual possa programar durante a disciplina?,Quanto tempo você disponível para estudar para disciplina por semana? (Em horas) ,interesse_em_programacao,seu_ensino_medio
9.5,6.8,2.0,6.1,REC,0.0,0,1.0,0,1.0,0.0,3,1.0,3.0,0.0,1.0,1.0,0.0,Sim,15.0,7,Ensino médio convencional particular
9.6,7.7,0.7,6.0,REC,3.0,1,1.0,1,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,Sim,25.0,8,Técnica particular
9.2,8.6,7.7,8.5,APR,0.0,1,1.0,1,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,Sim,12.0,7,Ensino médio convencional particular
8.8,8.7,8.1,8.5,APR,0.0,1,0.0,0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,Sim,8.0,10,Ensino médio convencional particular
9.3,10.0,8.1,9.1,APR,1.0,1,1.0,1,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,Sim,14.0,9,Técnica pública
0.2,0.0,0.0,0.1,REP,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Sim,40.0,10,Ensino médio convencional particular
9.2,10.0,9.2,9.5,APR,3.0,3,3.0,3,1.0,0.0,1,1.0,1.0,0.0,0.0,1.0,0.0,Sim,14.0,8,Ensino médio convencional público
10.0,9.6,5.9,8.5,APR,1.0,1,1.0,1,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,Sim,12.0,9,Ensino médio convencional particular
9.1,9.3,9.3,9.2,APR,3.0,1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,Não,10.0,8,Ensino médio convencional particular
9.8,6.0,6.0,7.3,APR,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,Sim,25.0,7,Técnica pública
